name_station,date,value
el paujil,2023-03-01,24.38511507427104
el paujil,2023-04-01,26.17904306028284
el paujil,2023-05-01,26.25566182720995
el paujil,2023-06-01,25.00022438383294
el paujil,2023-07-01,25.94268671889088
el paujil,2023-08-01,26.68219908364414
el paujil,2023-09-01,27.388646901143485
el paujil,2023-10-01,27.26367178528309
el paujil,2023-11-01,26.94019344667113
el paujil,2023-12-01,26.867170486849783
el paujil,2024-01-01,26.7177694590376
el paujil,2024-02-01,26.72942678471591
el paujil,2024-03-01,26.864433095014324
el paujil,2024-04-01,26.50490692178192
